age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Will subscribe a term deposit(yes/no)
44,management,single,tertiary,no,-1313,yes,yes,cellular,15,may,104,10,-1,0,unknown,no
49,blue-collar,married,primary,no,371,yes,no,cellular,31,jul,18,44,-1,0,unknown,no
33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,unknown,no
48,unemployed,divorced,secondary,no,1266,yes,no,telephone,3,feb,45,1,-1,0,unknown,no
55,retired,married,primary,no,8894,no,no,unknown,11,jun,262,1,-1,0,unknown,no
32,student,married,secondary,no,1694,yes,no,cellular,28,jan,929,1,-1,0,unknown,no
33,admin,married,tertiary,no,79,yes,no,cellular,22,oct,249,2,335,2,failure,no
27,blue-collar,single,primary,no,1128,yes,no,unknown,30,jun,88,4,-1,0,unknown,no
57,blue-collar,married,primary,no,179,no,no,unknown,9,jun,230,3,-1,0,unknown,no
40,services,married,secondary,no,0,no,no,unknown,12,jun,543,2,-1,0,unknown,no
40,management,married,tertiary,no,60,no,no,unknown,16,jun,172,6,-1,0,unknown,no
52,admin,single,primary,no,0,no,no,unknown,19,may,182,11,-1,0,unknown,no
44,blue-collar,married,primary,no,271,yes,yes,unknown,9,may,94,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,86,yes,no,unknown,19,may,364,1,-1,0,unknown,no
45,blue-collar,married,primary,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no
45,blue-collar,married,primary,no,0,no,no,cellular,26,aug,454,2,-1,0,unknown,no
34,entrepreneur,married,tertiary,no,475,yes,yes,cellular,9,jul,1156,1,-1,0,unknown,no
49,admin,married,primary,no,169,yes,no,cellular,15,may,82,3,-1,0,unknown,no
40,services,married,secondary,no,9374,yes,no,cellular,21,nov,7,8,185,1,failure,no
30,admin,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes
48,management,married,tertiary,no,1167,yes,yes,cellular,1,jun,264,1,-1,0,unknown,no
46,entrepreneur,married,secondary,no,757,no,no,unknown,16,jun,382,3,-1,0,unknown,no
51,management,married,secondary,no,3180,yes,no,cellular,9,jul,384,1,-1,0,unknown,no
45,technician,married,secondary,no,2571,no,no,unknown,18,jun,146,2,-1,0,unknown,no
27,services,divorced,secondary,no,10,yes,no,cellular,22,jul,527,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,1020,yes,no,unknown,28,may,251,1,-1,0,unknown,no
66,retired,married,tertiary,no,2262,no,no,cellular,22,apr,155,1,-1,0,unknown,no
59,retired,married,secondary,no,1173,no,no,unknown,9,jun,77,2,-1,0,unknown,no
30,housemaid,single,secondary,no,1924,no,no,cellular,6,feb,170,1,-1,0,unknown,no
29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,1,195,1,success,yes
31,self-employed,married,tertiary,no,1134,no,no,cellular,6,feb,174,2,-1,0,unknown,no
36,admin,single,tertiary,no,980,no,no,cellular,11,nov,118,4,104,7,failure,no
33,blue-collar,married,secondary,no,-77,yes,no,cellular,28,jul,151,3,-1,0,unknown,no
31,technician,single,secondary,no,1014,yes,no,cellular,23,jul,158,4,-1,0,unknown,no
32,technician,single,tertiary,no,1625,no,no,cellular,22,may,796,1,109,1,failure,no
49,technician,married,tertiary,no,3726,no,no,cellular,5,aug,875,2,-1,0,unknown,no
53,admin,married,secondary,no,225,yes,no,cellular,20,apr,304,1,340,1,failure,no
35,blue-collar,married,secondary,no,-339,yes,no,unknown,8,may,389,2,-1,0,unknown,no
57,admin,married,secondary,no,808,no,no,cellular,14,jul,417,3,-1,0,unknown,no
31,blue-collar,married,secondary,no,1243,yes,no,unknown,21,may,32,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
43,blue-collar,married,primary,no,60,no,no,cellular,8,may,487,2,367,2,other,no
46,admin,married,secondary,no,556,yes,yes,unknown,15,may,646,3,-1,0,unknown,no
59,blue-collar,divorced,secondary,no,3573,no,no,cellular,15,may,44,1,-1,0,unknown,no
37,blue-collar,married,primary,no,543,yes,no,unknown,21,may,281,1,-1,0,unknown,no
28,admin,single,secondary,no,26,yes,no,cellular,7,may,227,2,-1,0,unknown,no
41,blue-collar,single,secondary,no,75,yes,no,unknown,1,jul,479,9,-1,0,unknown,no
53,management,married,tertiary,no,12,no,no,cellular,27,aug,345,10,-1,0,unknown,no
28,admin,single,secondary,no,775,no,no,cellular,29,jan,603,2,-1,0,unknown,no
30,blue-collar,single,secondary,yes,447,no,no,unknown,14,may,103,6,-1,0,unknown,no
38,services,single,secondary,no,2253,yes,no,cellular,13,may,937,3,-1,0,unknown,no
22,admin,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
30,admin,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
50,technician,married,secondary,no,0,no,no,cellular,7,jul,152,2,-1,0,unknown,no
40,technician,married,tertiary,no,0,no,no,cellular,19,aug,44,1,-1,0,unknown,no
29,admin,single,secondary,no,1448,no,no,cellular,10,mar,217,1,184,7,other,no
29,services,single,secondary,no,209,yes,no,cellular,28,jul,487,7,-1,0,unknown,no
47,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761,2,-1,0,unknown,no
33,unemployed,married,tertiary,no,302,yes,yes,cellular,16,apr,670,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,284,yes,yes,unknown,3,jun,1030,6,-1,0,unknown,no
31,blue-collar,married,unknown,no,-120,yes,no,cellular,17,jul,231,2,-1,0,unknown,no
57,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no
49,services,married,secondary,no,400,no,no,cellular,21,aug,151,3,-1,0,unknown,no
49,services,married,secondary,no,5673,no,yes,cellular,4,aug,357,3,-1,0,unknown,no
53,admin,married,secondary,no,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
36,blue-collar,single,secondary,no,219,yes,yes,cellular,11,may,270,2,347,1,failure,no
32,services,single,secondary,no,182,yes,no,cellular,6,may,145,1,-1,0,unknown,no
47,self-employed,married,tertiary,no,2303,yes,no,cellular,6,may,323,2,364,1,failure,no
51,retired,married,secondary,no,35,no,yes,cellular,8,jul,123,4,-1,0,unknown,no
26,management,single,tertiary,no,592,no,no,telephone,29,jan,145,2,164,1,other,no
43,unemployed,married,secondary,no,3529,no,no,cellular,5,feb,169,2,-1,0,unknown,no
44,management,married,tertiary,no,795,no,no,cellular,28,aug,99,24,-1,0,unknown,no
59,retired,married,secondary,no,5706,yes,no,cellular,25,jul,471,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,781,no,no,unknown,13,may,152,1,-1,0,unknown,no
37,technician,married,secondary,no,2707,yes,no,telephone,16,jul,109,1,-1,0,unknown,no
48,blue-collar,married,unknown,no,131,yes,no,unknown,6,may,189,1,-1,0,unknown,no
48,admin,married,secondary,no,112,no,no,cellular,18,aug,139,5,-1,0,unknown,no
40,entrepreneur,married,secondary,no,1416,yes,no,unknown,14,may,210,2,-1,0,unknown,no
37,blue-collar,single,primary,no,851,yes,no,cellular,15,may,151,1,352,1,failure,no
35,blue-collar,single,tertiary,no,0,yes,no,cellular,21,jul,262,4,-1,0,unknown,no
46,management,married,tertiary,no,273,yes,no,cellular,18,mar,910,2,184,4,success,yes
48,blue-collar,married,secondary,no,425,yes,no,telephone,9,jul,693,2,-1,0,unknown,no
32,management,single,tertiary,no,656,yes,yes,cellular,20,apr,148,2,-1,0,unknown,no
32,management,married,tertiary,no,820,yes,no,cellular,17,jul,738,3,-1,0,unknown,no
35,technician,single,secondary,no,2,no,no,cellular,11,aug,239,4,-1,0,unknown,no
35,self-employed,married,tertiary,no,560,yes,no,cellular,2,apr,58,1,136,1,failure,no
35,management,married,secondary,no,839,yes,no,unknown,23,may,50,3,-1,0,unknown,no
37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,174,4,other,no
35,blue-collar,married,secondary,no,305,yes,no,cellular,18,may,7,7,367,25,failure,no
34,admin,married,secondary,no,2374,yes,no,cellular,9,nov,161,1,209,2,failure,no
34,management,single,tertiary,no,618,yes,no,unknown,3,jun,119,4,-1,0,unknown,no
32,technician,married,tertiary,no,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no
34,management,single,tertiary,no,340,yes,no,unknown,3,jun,633,28,-1,0,unknown,no
41,blue-collar,married,secondary,no,641,yes,no,unknown,13,may,161,1,-1,0,unknown,no
58,retired,married,primary,no,4007,no,no,cellular,30,nov,598,4,-1,0,unknown,no
34,admin,married,secondary,no,247,no,no,cellular,8,oct,401,2,-1,0,unknown,no
58,retired,married,secondary,no,14412,no,no,cellular,18,nov,297,1,-1,0,unknown,no
49,blue-collar,divorced,unknown,no,39,yes,no,cellular,13,may,27,5,-1,0,unknown,no
48,management,married,secondary,no,4415,yes,no,cellular,8,apr,1032,3,141,7,failure,no
43,self-employed,single,tertiary,no,0,no,no,unknown,19,jun,147,1,-1,0,unknown,no
55,blue-collar,married,primary,no,145,no,no,telephone,2,feb,59,3,5,2,other,no
46,blue-collar,married,primary,no,91,yes,no,cellular,6,may,29,1,356,2,failure,no
50,unemployed,divorced,secondary,no,32,no,no,cellular,4,aug,282,2,-1,0,unknown,no
45,entrepreneur,married,tertiary,no,0,yes,no,cellular,29,jul,100,3,-1,0,unknown,no
73,retired,married,primary,no,1388,no,no,cellular,20,jul,146,3,190,3,success,yes
33,technician,married,secondary,no,181,yes,yes,telephone,28,jul,265,2,-1,0,unknown,no
33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205,3,-1,0,unknown,no
27,technician,single,tertiary,no,3083,yes,no,unknown,29,may,244,2,-1,0,unknown,no
33,blue-collar,single,primary,no,599,yes,no,unknown,21,may,29,1,-1,0,unknown,no
41,management,divorced,tertiary,no,369,yes,no,telephone,22,aug,9,3,-1,0,unknown,no
32,admin,married,secondary,no,3540,yes,no,cellular,18,may,213,1,178,1,failure,no
62,housemaid,married,secondary,no,565,no,no,cellular,4,sep,123,3,-1,0,unknown,no
47,management,divorced,tertiary,no,1149,no,yes,cellular,15,jul,82,2,-1,0,unknown,no
56,technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no
40,admin,married,secondary,no,168,yes,no,cellular,7,may,249,2,169,1,failure,no
34,management,single,tertiary,no,-292,yes,no,cellular,19,aug,181,6,-1,0,unknown,no
32,technician,married,tertiary,no,-1053,yes,no,cellular,21,jul,357,3,-1,0,unknown,no
58,blue-collar,divorced,secondary,no,314,no,no,unknown,25,jun,67,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,-921,yes,no,unknown,26,may,115,2,-1,0,unknown,no
31,blue-collar,married,secondary,no,1766,no,yes,cellular,5,jun,166,2,-1,0,unknown,no
40,technician,married,secondary,no,694,yes,no,cellular,4,feb,97,4,196,5,failure,no
38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,224,2,180,1,failure,no
48,technician,married,tertiary,no,310,no,no,unknown,6,may,135,1,-1,0,unknown,no
21,student,single,secondary,no,6844,no,no,cellular,14,aug,126,3,127,7,other,no
38,technician,single,tertiary,no,221,no,no,cellular,20,aug,79,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,-206,yes,no,unknown,8,may,177,2,-1,0,unknown,no
32,technician,divorced,tertiary,no,267,no,no,cellular,26,may,128,1,-1,0,unknown,no
61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215,1,-1,0,unknown,no
55,management,divorced,tertiary,no,1598,no,no,cellular,22,aug,607,4,-1,0,unknown,no
41,technician,married,tertiary,no,744,yes,no,unknown,14,may,125,1,-1,0,unknown,no
55,technician,single,tertiary,no,-703,yes,no,cellular,8,may,123,3,-1,0,unknown,no
38,technician,single,secondary,no,-242,yes,no,cellular,18,may,1173,3,278,6,success,no
42,unemployed,married,secondary,no,1289,no,no,cellular,15,jul,250,4,415,2,failure,no
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,no
37,unemployed,married,secondary,no,1978,no,no,cellular,9,sep,404,1,182,1,success,yes
32,technician,married,secondary,no,266,yes,no,cellular,19,aug,168,2,-1,0,unknown,no
43,self-employed,married,secondary,no,104,no,no,unknown,17,jun,332,1,-1,0,unknown,no
61,management,married,tertiary,no,6016,no,no,cellular,2,feb,670,3,-1,0,unknown,no
33,admin,married,secondary,no,353,yes,no,cellular,19,nov,107,2,-1,0,unknown,no
32,management,single,tertiary,no,347,yes,no,cellular,18,may,213,1,264,6,failure,no
38,admin,single,secondary,no,-23,no,no,cellular,20,nov,48,2,-1,0,unknown,no
44,self-employed,single,tertiary,no,2734,yes,no,cellular,12,may,897,4,-1,0,unknown,no
37,management,divorced,tertiary,no,168,yes,no,unknown,5,jun,227,1,-1,0,unknown,no
36,technician,married,secondary,no,480,no,no,cellular,20,oct,213,1,-1,0,unknown,no
37,management,married,tertiary,no,767,no,yes,cellular,2,feb,204,1,-1,0,unknown,no
28,student,single,secondary,no,378,yes,no,cellular,17,apr,346,1,-1,0,unknown,no
57,self-employed,married,secondary,no,35,no,yes,unknown,26,jun,215,3,-1,0,unknown,no
32,self-employed,married,tertiary,no,189,yes,no,unknown,6,jun,106,2,-1,0,unknown,no
53,technician,married,tertiary,no,431,yes,no,unknown,11,jun,74,1,-1,0,unknown,no
58,management,married,secondary,no,139,no,no,cellular,27,may,188,1,161,2,other,no
43,management,married,tertiary,no,348,no,yes,cellular,15,jul,88,3,-1,0,unknown,no
51,blue-collar,married,primary,no,3726,no,yes,cellular,27,aug,119,12,-1,0,unknown,no
56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,1,-1,0,unknown,no
48,housemaid,married,primary,no,7195,no,no,cellular,21,nov,609,2,-1,0,unknown,no
49,blue-collar,married,primary,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no
42,blue-collar,married,primary,no,1520,yes,no,cellular,5,feb,115,1,-1,0,unknown,no
33,entrepreneur,married,primary,no,82,yes,no,cellular,18,nov,63,2,-1,0,unknown,no
35,management,married,tertiary,no,3161,no,no,cellular,8,aug,433,2,-1,0,unknown,no
46,services,married,secondary,no,451,yes,yes,cellular,13,may,389,4,-1,0,unknown,no
37,admin,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
31,admin,married,secondary,no,88,yes,yes,cellular,8,aug,189,2,-1,0,unknown,no
32,management,married,tertiary,no,1390,no,no,cellular,7,aug,116,2,-1,0,unknown,no
38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
41,services,divorced,secondary,no,787,yes,no,cellular,8,may,297,2,-1,0,unknown,no
27,student,single,secondary,no,671,yes,no,unknown,7,may,332,2,-1,0,unknown,no
24,services,married,secondary,no,4500,yes,no,cellular,11,may,733,2,-1,0,unknown,no
35,blue-collar,married,primary,no,3587,yes,no,unknown,30,may,148,4,-1,0,unknown,no
43,blue-collar,married,primary,no,7343,yes,no,unknown,2,jun,217,4,-1,0,unknown,no
34,management,married,tertiary,no,4831,yes,no,cellular,4,feb,265,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,80,2,-1,0,unknown,no
53,admin,divorced,secondary,no,26,yes,no,cellular,7,may,56,1,359,1,failure,no
28,technician,single,secondary,yes,-298,yes,no,unknown,3,jun,559,7,-1,0,unknown,no
36,management,single,tertiary,no,613,no,no,cellular,7,aug,86,2,-1,0,unknown,no
38,blue-collar,married,primary,no,1679,yes,no,unknown,20,jun,21,18,-1,0,unknown,no
51,blue-collar,married,primary,no,40,yes,no,cellular,13,may,79,1,370,1,failure,no
45,entrepreneur,divorced,tertiary,no,1273,yes,yes,unknown,11,jun,197,3,-1,0,unknown,no
48,services,married,primary,yes,-583,yes,no,unknown,2,jun,25,7,-1,0,unknown,no
51,technician,married,tertiary,no,1315,no,no,telephone,5,jun,303,2,-1,0,unknown,no
25,student,single,secondary,no,8,no,no,cellular,22,apr,107,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,230,yes,no,unknown,5,jun,175,7,-1,0,unknown,no
49,blue-collar,married,primary,no,1019,yes,no,cellular,16,apr,285,5,-1,0,unknown,no
40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown,no
57,retired,married,primary,no,808,no,no,telephone,7,jul,274,1,-1,0,unknown,no
34,admin,divorced,secondary,no,479,yes,no,cellular,12,may,515,1,350,5,failure,no
46,management,divorced,tertiary,no,25,no,no,unknown,26,may,103,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,25,no,no,cellular,22,aug,528,2,-1,0,unknown,no
32,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,-1,0,unknown,no
25,student,single,tertiary,no,5,no,no,cellular,29,sep,138,1,-1,0,unknown,no
32,services,married,secondary,no,4885,yes,yes,cellular,18,nov,400,2,-1,0,unknown,no
31,unemployed,married,secondary,no,24,yes,no,cellular,19,nov,631,1,-1,0,unknown,no
42,management,married,tertiary,no,1205,no,no,telephone,8,sep,376,2,-1,0,unknown,no
39,admin,married,secondary,no,260,yes,no,cellular,17,apr,146,1,281,1,failure,no
26,self-employed,single,tertiary,no,211,no,no,cellular,29,jan,168,3,-1,0,unknown,no
33,blue-collar,divorced,secondary,no,-131,yes,no,unknown,16,may,145,1,-1,0,unknown,no
48,technician,married,secondary,no,7020,no,no,cellular,6,aug,80,2,-1,0,unknown,no
48,technician,married,secondary,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no
56,management,married,tertiary,no,318,no,yes,telephone,9,jul,246,3,-1,0,unknown,no
33,management,single,tertiary,no,3170,no,no,cellular,28,oct,246,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
43,admin,married,secondary,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,5092,yes,no,unknown,17,jun,145,6,-1,0,unknown,no
57,blue-collar,married,primary,no,452,yes,no,unknown,13,may,139,4,-1,0,unknown,no
66,retired,married,primary,no,206,no,no,cellular,9,feb,479,1,-1,0,unknown,no
50,unemployed,married,secondary,no,3357,no,no,cellular,9,jun,239,4,-1,0,unknown,no
37,blue-collar,married,secondary,no,67,no,no,unknown,3,jun,45,2,-1,0,unknown,no
40,technician,divorced,tertiary,no,1871,yes,no,cellular,17,nov,64,1,-1,0,unknown,no
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no
33,technician,single,tertiary,no,125,no,no,telephone,29,aug,66,2,-1,0,unknown,no
39,services,married,secondary,no,247,yes,no,cellular,17,apr,244,2,-1,0,unknown,no
37,services,single,secondary,no,105,no,yes,unknown,17,jun,260,4,-1,0,unknown,no
33,management,married,tertiary,no,752,yes,no,cellular,11,aug,104,4,-1,0,unknown,no
42,admin,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other,no
49,management,married,tertiary,no,322,no,no,cellular,6,aug,72,4,-1,0,unknown,no
31,technician,divorced,secondary,no,10787,yes,no,unknown,4,jun,135,2,-1,0,unknown,no
21,services,single,secondary,no,1903,yes,no,unknown,29,may,107,2,-1,0,unknown,no
40,services,single,secondary,no,1547,yes,no,cellular,12,may,88,2,173,1,success,yes
52,blue-collar,married,secondary,no,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no
33,management,single,tertiary,no,335,no,no,cellular,29,aug,130,4,-1,0,unknown,no
44,unemployed,married,tertiary,no,178,no,no,cellular,8,aug,126,2,-1,0,unknown,no
31,technician,single,secondary,no,433,no,no,cellular,11,aug,1504,2,-1,0,unknown,no
35,unknown,married,primary,no,365,no,no,cellular,29,aug,41,2,-1,0,unknown,no
47,technician,married,secondary,no,-75,yes,no,cellular,4,feb,57,1,247,1,other,no
50,management,married,tertiary,no,112,yes,no,cellular,4,nov,70,5,85,5,other,no
47,housemaid,married,secondary,no,3940,yes,no,cellular,9,nov,171,2,96,5,success,yes
